0.7205357143,0.5980392157
0.7205357143,0.5952380952
0.7116071429,0.5868347339
0.6812500000,0.5728291317
0.6687500000,0.5672268908
0.6562500000,0.5616246499
0.6401785714,0.5532212885
0.6276785714,0.5448179272
0.6116071429,0.5392156863
0.5812500000,0.5252100840
0.5723214286,0.5224089636
0.5633928571,0.5224089636
0.5616071429,0.5224089636
0.5580357143,0.5224089636
0.5526785714,0.5224089636
0.5491071429,0.5224089636
0.5473214286,0.5224089636
0.5455357143,0.5224089636
0.5437500000,0.5224089636
0.5401785714,0.5224089636
0.5383928571,0.5168067227
0.5276785714,0.5056022409
0.5187500000,0.4943977591
0.5151785714,0.4915966387
0.5098214286,0.4803921569
0.5080357143,0.4719887955
0.5062500000,0.4663865546
0.5026785714,0.4523809524
0.5026785714,0.4467787115
0.5026785714,0.4355742297
0.5026785714,0.4327731092
0.5026785714,0.4187675070
0.5026785714,0.4019607843
0.5026785714,0.3739495798
0.4973214286,0.3291316527
0.4955357143,0.3095238095
0.4937500000,0.2899159664
0.4758928571,0.2450980392
0.4705357143,0.2338935574
0.4669642857,0.2310924370
0.4651785714,0.2310924370
0.4598214286,0.2310924370
0.4401785714,0.2535014006
0.4258928571,0.2703081232
0.4098214286,0.3011204482
0.4026785714,0.3151260504
0.3973214286,0.3347338936
0.3794642857,0.3823529412
0.3651785714,0.4327731092
0.3562500000,0.4691876751
0.5473214286,0.6456582633
0.5491071429,0.6484593838
0.5562500000,0.6736694678
0.5723214286,0.7072829132
0.5955357143,0.7380952381
0.6080357143,0.7464985994
0.6187500000,0.7577030812
0.6223214286,0.7605042017
0.6241071429,0.7605042017
0.6258928571,0.7605042017
0.6330357143,0.7296918768
0.6437500000,0.6820728291
0.6491071429,0.6624649860
0.6580357143,0.6372549020
0.6705357143,0.6120448179
0.6812500000,0.5952380952
0.1044642857,0.0266106443
